IMDB Code	Date	Title	Seen	Source	Recommender	Rating	Simple Rating
tt0208092	2/17/2022	Snatch	n	Netflix	NA	Good +	8.5
tt1116186	2/18/2022	Still Waiting...	n	HBO Max	NA	Decent	5
tt11372428	2/19/2022	Closed for Storm	n	Amazon Prime	NA	Good +	8.5
tt0072962	2/20/2022	F for Fake	n	HBO Max	NA	Good +	8.5
tt0816556	2/21/2022	Lake Mungo	n	Tubi	NA	Good	8
tt1331064	2/22/2022	Paper Heart	n	Amazon Prime	NA	Good	8
tt12735338	2/23/2022	Words Bubble Up Like Soda Pop	n	Netflix	NA	Good	8
tt3727120	2/24/2022	The History of Time Travel	n	Amazon Prime	NA	Great	10
tt0080339	2/25/2022	Airplane!	n	Stream	NA	Good	8
tt11162992	2/26/2022	"Lorena, Light-Footed Woman"	n	Netflix	NA	Good +	8.5
tt0095662	2/27/2022	Moving	n	Stream	NA	Decent +	6
tt0273799	2/28/2022	Max Keeble's Big Move	n	Disney +	NA	Decent	5
tt4831420	3/1/2022	Sharknado 4	n	Amazon Prime	NA	Decent -	4
tt1371155	3/2/2022	Made in Dagenham	n	Starz	NA	Good	8
tt0139414	3/3/2022	Lake Placid	n	Tubi	NA	Decent	5
tt7740496	3/4/2022	Nightmare Alley	n	Hulu	NA	Good	8
tt2556936	3/5/2022	No Men Beyond This Point	n	Amazon Prime	NA	Good	8
tt0107977	3/6/2022	Robin Hood: Men in Tights	n	Hulu	NA	Good -	7.5
tt4226388	3/7/2022	Victoria	n	Showtime	NA	Good -	7.5
tt0093105	3/8/2022	Good Morning Vietnam	n	Amazon Prime	NA	Great	10
tt1877830	3/9/2022	The Batman	n	Regal	NA	Good +	8.5
tt6320628	3/9/2022	Spiderman: Far From Home	y	Stream	NA	Good +	8.5
tt10307856	3/10/2022	The Argument	n	Starz	NA	Decent +	6
tt0283111	3/11/2022	Van Wilder	n	Tubi	NA	Good	8
tt0088128	3/12/2022	16 Candles	n	Stream	NA	Good	8
tt0078346	3/13/2022	Superman	n	HBO Max	NA	Great	10
tt0042876	3/14/2022	Rashomon	n	HBO Max	NA	Great	10
tt0029808	3/15/2022	You Only Live Once	n	Amazon Prime	NA	Great	10
tt0318462	3/16/2022	Motorcycle Diaries	n	Stream	NA	Good +	8.5
tt8430054	3/17/2022	Flee	n	Hulu	NA	Great	10
tt0117705	3/18/2022	Space Jam	n	HBO Max	NA	Good +	8.5
tt3554046	3/18/2022	Space Jam: A New Legacy	n	HBO Max	NA	Okay -	1.5
tt5109280	3/19/2022	Raya and the Last Dragon	n	Disney +	NA	Good	8
tt4995540	3/20/2022	Being the Ricardos	n	Amazon Prime	NA	Good	8
tt11271038	3/21/2022	Licorice Pizza	n	Regal	NA	Great -	9.5
tt9115530	3/22/2022	The Eyes of Tammy Faye	n	HBO Max	NA	Good	8
tt12789558	3/22/2022	Belfast	n	Regal	NA	Good +	8.5
tt0088846	3/23/2022	Brazil	n	Stream	NA	Good +	8.5
tt3581652	3/24/2022	West Side Story	n	HBO Max	NA	Decent +	6
