"official_title","your_title","watch_date","type","year","decade","half_decade","age","runtime","genre1","genre2","genre3","seen","source","rating","imdb_rating","recommender"
"Birds of Passage(2018)","Birds of Passage","2021-05-23","movie","2018","2010","2015","4","125","Crime","Drama","","n","Netflix","8.0","7.5","NA"
"Mortal Kombat(2021)","Mortal Kombat","2021-05-23","movie","2021","2020","2020","1","110","Action","Adventure","Fantasy","n","HBO Max","6.0","6.1","NA"
"Stranger Than Fiction(2006)","Stranger than Fiction","2021-05-24","movie","2006","2000","2005","16","113","Comedy","Drama","Fantasy","n","Netflix","8.0","7.6","NA"
"Ava(2020)","Ava","2021-05-25","movie","2020","2020","2020","2","96","Action","Drama","Thriller","n","Netflix","5.0","5.4","NA"
"#Alive(2020)","#Alive","2021-05-26","movie","2020","2020","2020","2","98","Action","Drama","Horror","n","Netflix","8.0","6.3","NA"
"The Bling Ring(2013)","The Bling Ring","2021-05-27","movie","2013","2010","2010","9","90","Biography","Crime","Drama","n","Netflix","8.0","5.6","NA"
"The Dead Don't Die(2019)","The Dead Don't Die","2021-05-28","movie","2019","2010","2015","3","104","Comedy","Fantasy","Horror","n","HBO Max","10.0","5.4","NA"
"The Expendables(2010)","The Expendables","2021-05-29","movie","2010","2010","2010","12","103","Action","Adventure","Thriller","n","Hulu","8.0","6.4","NA"
"Reservoir Dogs(1992)","resevoir dogs","2021-05-30","movie","1992","1990","1990","30","99","Crime","Drama","Thriller","n","Amazon Prime","8.0","8.3","NA"
"Predator(1987)","predator","2021-05-31","movie","1987","1980","1985","35","107","Action","Adventure","Horror","n","Hulu","8.0","7.8","NA"
"Primal(2019)","Primal","2021-06-01","movie","2019","2010","2015","3","97","Action","Thriller","","n","Hulu","5.0","4.9","NA"
"Pride and Prejudice and Zombies(2016)","Pride and Prejudice and Zombies","2021-06-02","movie","2016","2010","2015","6","108","Action","Comedy","Fantasy","n","Amazon Prime","5.0","5.8","NA"
"The Hustle(2019)","The Hustle","2021-06-03","movie","2019","2010","2015","3","93","Comedy","Crime","","n","Hulu","5.0","5.4","NA"
"Django Unchained(2012)","Django Unchained","2021-06-04","movie","2012","2010","2010","10","165","Drama","Western","","n","Netflix","10.0","8.4","NA"
"Indiana Jones and the Raiders of the Lost Ark(1981)","Indiana Jones: Raiders of the Lost Ark","2021-06-05","movie","1981","1980","1980","41","115","Action","Adventure","","y","Regal Theater","8.0","8.4","NA"
"Save Yourselves!(2020)","Save Yourselves","2021-06-05","movie","2020","2020","2020","2","93","Adventure","Comedy","Sci-Fi","n","Hulu","10.0","5.7","NA"
"Uncle Frank(2020)","Uncle Frank","2021-06-06","movie","2020","2020","2020","2","95","Comedy","Drama","","n","Amazon Prime","8.5","7.3","NA"
"The Biggest Little Farm(2018)","The Biggest Little Farm","2021-06-07","movie","2018","2010","2015","4","91","Documentary","","","n","Hulu","8.0","8.0","NA"
"The Donut King(2020)","The Donut King","2021-06-08","movie","2020","2020","2020","2","90","Documentary","","","n","Hulu","8.0","7.2","NA"
"Naughty Books(2020)","Naughty Books","2021-06-09","movie","2020","2020","2020","2","82","Documentary","","","n","Hulu","8.0","6.1","NA"
"Autonomy(2019)","Autonomy","2021-06-10","movie","2019","2010","2015","3","80","Documentary","","","n","Hulu","5.0","6.6","NA"
"Speed(1994)","Speed","2021-06-11","movie","1994","1990","1990","28","116","Action","Adventure","Thriller","n","HBO Max","8.5","7.3","NA"
"If You're Not in the Obit, Eat Breakfast(2017)","""If You're Not In the Obit, Eat Breakfast""","2021-06-12","movie","2017","2010","2015","5","86","Documentary","","","n","HBO Max","8.0","7.4","NA"
"Minimalism: A Documentary About the Important Things(2015)","Minimalism","2021-06-13","movie","2015","2010","2015","7","78","Documentary","","","n","Netflix","5.0","6.6","NA"
"The Call of the Wild(2020)","The Call of the Wild","2021-06-14","movie","2020","2020","2020","2","100","Adventure","Drama","Family","n","HBO Max","5.0","6.7","NA"
"The French Connection(1971)","The French Connection","2021-06-15","movie","1971","1970","1970","51","104","Action","Crime","Drama","n","Amazon Prime","8.5","7.7","NA"
"Fifty Shades of Grey(2015)","50 Shades of Grey","2021-06-16","movie","2015","2010","2015","7","125","Drama","Romance","Thriller","n","TBS","1.5","4.1","NA"
"The Love Bug(1997)","The Love Bug","2021-06-17","tvEpisode","1997","1990","1995","25","88","Adventure","Comedy","Drama","n","Disney +","8.0","5.3","NA"
"Ready Player One(2018)","Ready Player One","2021-06-18","movie","2018","2010","2015","4","140","Action","Adventure","Sci-Fi","n","HBO Max","10.0","7.4","NA"
"The Book of Life(2014)","Book of Life","2021-06-19","movie","2014","2010","2010","8","95","Adventure","Animation","Comedy","n","Disney +","5.0","7.2","NA"
"The Boys in the Band(1970)","The Boys in the Band","2021-06-20","movie","1970","1970","1970","52","118","Drama","","","n","Stream","8.0","7.6","NA"
"In the Heights(2021)","In The Heights","2021-06-21","movie","2021","2020","2020","1","143","Drama","Musical","Romance","n","Regal Theater","8.0","7.3","NA"
"Hitman's Wife's Bodyguard(2021)","The Hitman's Wife's Bodyguard","2021-06-22","movie","2021","2020","2020","1","100","Action","Comedy","Crime","n","Regal Theater","8.0","6.1","NA"
"Brokeback Mountain(2005)","Brokeback Mountain","2021-06-23","movie","2005","2000","2005","17","134","Drama","Romance","","n","Person's Movie","8.0","7.7","NA"
"Cruella(2021)","Cruella","2021-06-24","movie","2021","2020","2020","1","134","Adventure","Comedy","Crime","n","Regal Theater","7.5","7.3","NA"
"Tropic Thunder(2008)","Tropic Thunder","2021-06-25","movie","2008","2000","2005","14","107","Action","Comedy","War","n","Amazon Prime","7.5","7.0","NA"
"Alien(1979)","Alien","2021-06-26","movie","1979","1970","1975","43","117","Horror","Sci-Fi","","n","Amazon Prime","8.0","8.5","NA"
"Borat Subsequent Moviefilm(2020)","Borat 2","2021-06-27","movie","2020","2020","2020","2","95","Comedy","","","n","Amazon Prime","2.0","6.6","NA"
"Predator 2(1990)","Predator 2","2021-06-29","movie","1990","1990","1990","32","108","Action","Horror","Sci-Fi","n","Hulu","0.0","6.2","NA"
"Rush Hour 2(2001)","Rush Hour 2","2021-06-30","movie","2001","2000","2000","21","90","Action","Comedy","Crime","n","HBO Max","1.5","6.6","NA"
"The Expendables 2(2012)","Expendables 2","2021-07-01","movie","2012","2010","2010","10","103","Action","Adventure","Thriller","n","Hulu","5.0","6.6","NA"
"The Boys in the Band(2020)","Boys in the Band","2021-07-02","movie","2020","2020","2020","2","121","Drama","","","n","Netflix","6.0","6.8","NA"
"The Fast and the Furious(2001)","Fast and Furious","2021-07-03","movie","2001","2000","2000","21","106","Action","Adventure","Crime","n","Hulu","8.0","6.8","NA"
"2 Fast 2 Furious(2003)","2 Fast 2 Furious","2021-07-04","movie","2003","2000","2000","19","107","Action","Adventure","Crime","n","Hulu","8.0","5.9","NA"
"The Fast and the Furious: Tokyo Drift(2006)","Fast and Furious 3: Tokyo Drift","2021-07-04","movie","2006","2000","2005","16","104","Action","Adventure","Crime","n","Peacock","2.0","6.0","NA"
"Inside(2021)","Inside","2021-07-05","tvSpecial","2021","2020","2020","1","87","Comedy","Drama","Music","n","Netflix","10.0","8.6","NA"
"Taylor Tomlinson: Quarter-Life Crisis(2020)","Taylor Tomlinson: Quarter-Life Crisis","2021-07-06","tvSpecial","2020","2020","2020","2","61","Comedy","","","n","Netflix","5.0","7.4","NA"
"Norm Macdonald: Hitler's Dog, Gossip & Trickery(2017)","Norm","2021-07-07","tvSpecial","2017","2010","2015","5","60","Comedy","Documentary","","n","Netflix","5.0","7.3","NA"
"Maria Bamford: The Special Special Special!(2012)","Maria Bamford: the special special special!","2021-07-08","tvSpecial","2012","2010","2010","10","49","Comedy","","","n","Netflix","6.0","6.8","NA"
"Black Widow(2021)","Black Widow","2021-07-09","movie","2021","2020","2020","1","134","Action","Adventure","Sci-Fi","n","Regal Theater","8.5","6.7","NA"
"Scary Movie(2000)","Scary Movie","2021-07-10","movie","2000","2000","2000","22","88","Comedy","","","n","Pluto","8.0","6.2","NA"
"Chris Claremont's X-Men(2018)","Chris Claremont","2021-07-11","movie","2018","2010","2015","4","71","Documentary","","","n","Amazon Prime","8.0","6.6","NA"
"Wanderlust(2012)","Wanderlust","2021-07-12","movie","2012","2010","2010","10","98","Comedy","Romance","","n","HBO Max","8.0","5.6","NA"
"National Lampoon's Vacation(1983)","National Lampoon","2021-07-13","movie","1983","1980","1980","39","98","Adventure","Comedy","","n","HBO Max","2.0","7.3","NA"
"Kajillionaire(2020)","Kajillionaire","2021-07-14","movie","2020","2020","2020","2","104","Comedy","Crime","Drama","n","HBO Max","10.0","6.4","NA"
"Vacation(2015)","Vacation","2021-07-15","movie","2015","2010","2015","7","99","Adventure","Comedy","","n","HBO Max","5.0","6.1","NA"
"Dumbo(1941)","Dumbo","2021-07-16","movie","1941","1940","1940","81","64","Adventure","Animation","Drama","n","Disney +","8.0","7.2","NA"
"The Secret Garden(2020)","Secret Garden","2021-07-17","movie","2020","2020","2020","2","99","Drama","Family","Fantasy","n","Hulu","5.0","5.5","NA"
"The Conjuring: The Devil Made Me Do It(2021)","Conjuring","2021-07-18","movie","2021","2020","2020","1","112","Horror","Mystery","Thriller","n","Hull's Drive-in","2.0","6.3","NA"
